FullGeoName,Year,State,County,FIPS,RiskFactor,DataType,Indicator,Prevalence
"AL, Elmore",2021,AL,Elmore County,1051,All patients,Adjusted Prevalence,"DR, any stage",2.48
"AL, Escambia",2021,AL,Escambia County,1053,All patients,Adjusted Prevalence,"DR, any stage",2.82
"AL, Etowah",2021,AL,Etowah County,1055,All patients,Adjusted Prevalence,"DR, any stage",2.95
"AL, Fayette",2021,AL,Fayette County,1057,All patients,Adjusted Prevalence,"DR, any stage",2.28
"AL, Franklin",2021,AL,Franklin County,1059,All patients,Adjusted Prevalence,"DR, any stage",3.66
"AL, Geneva",2021,AL,Geneva County,1061,All patients,Adjusted Prevalence,"DR, any stage",2.46
"AL, Greene",2021,AL,Greene County,1063,All patients,Adjusted Prevalence,"DR, any stage",5.01
"AL, Hale",2021,AL,Hale County,1065,All patients,Adjusted Prevalence,"DR, any stage",3.73
"AL, Henry",2021,AL,Henry County,1067,All patients,Adjusted Prevalence,"DR, any stage",3.79
"AL, Houston",2021,AL,Houston County,1069,All patients,Adjusted Prevalence,"DR, any stage",2.84
"AL, Jackson",2021,AL,Jackson County,1071,All patients,Adjusted Prevalence,"DR, any stage",3.1
"AL, Jefferson",2021,AL,Jefferson County,1073,All patients,Adjusted Prevalence,"DR, any stage",2.74
"AL, Lamar",2021,AL,Lamar County,1075,All patients,Adjusted Prevalence,"DR, any stage",2.5
"AL, Lauderdale",2021,AL,Lauderdale County,1077,All patients,Adjusted Prevalence,"DR, any stage",2.25
"AL, Lawrence",2021,AL,Lawrence County,1079,All patients,Adjusted Prevalence,"DR, any stage",2.43
"AL, Lee",2021,AL,Lee County,1081,All patients,Adjusted Prevalence,"DR, any stage",3.07
"AL, Limestone",2021,AL,Limestone County,1083,All patients,Adjusted Prevalence,"DR, any stage",2.45
"AL, Lowndes",2021,AL,Lowndes County,1085,All patients,Adjusted Prevalence,"DR, any stage",4.62
"AL, Macon",2021,AL,Macon County,1087,All patients,Adjusted Prevalence,"DR, any stage",4.46
"AL, Madison",2021,AL,Madison County,1089,All patients,Adjusted Prevalence,"DR, any stage",2.57
"AL, Marengo",2021,AL,Marengo County,1091,All patients,Adjusted Prevalence,"DR, any stage",4.32
"AL, Marion",2021,AL,Marion County,1093,All patients,Adjusted Prevalence,"DR, any stage",2.55
"AL, Marshall",2021,AL,Marshall County,1095,All patients,Adjusted Prevalence,"DR, any stage",2.54
"AL, Mobile",2021,AL,Mobile County,1097,All patients,Adjusted Prevalence,"DR, any stage",3.36
"AL, Monroe",2021,AL,Monroe County,1099,All patients,Adjusted Prevalence,"DR, any stage",3.91
"AL, Montgomery",2021,AL,Montgomery County,1101,All patients,Adjusted Prevalence,"DR, any stage",3.37
"AL, Morgan",2021,AL,Morgan County,1103,All patients,Adjusted Prevalence,"DR, any stage",2.19
"AL, Perry",2021,AL,Perry County,1105,All patients,Adjusted Prevalence,"DR, any stage",6.06
"AL, Pickens",2021,AL,Pickens County,1107,All patients,Adjusted Prevalence,"DR, any stage",3.73
"AL, Pike",2021,AL,Pike County,1109,All patients,Adjusted Prevalence,"DR, any stage",4.29
"AL, Randolph",2021,AL,Randolph County,1111,All patients,Adjusted Prevalence,"DR, any stage",2.55
"AL, Russell",2021,AL,Russell County,1113,All patients,Adjusted Prevalence,"DR, any stage",2.87
"AL, St Clair",2021,AL,St. Clair County,1115,All patients,Adjusted Prevalence,"DR, any stage",2.42
"AL, Shelby",2021,AL,Shelby County,1117,All patients,Adjusted Prevalence,"DR, any stage",1.93
"AL, Sumter",2021,AL,Sumter County,1119,All patients,Adjusted Prevalence,"DR, any stage",5.77
"AL, Talladega",2021,AL,Talladega County,1121,All patients,Adjusted Prevalence,"DR, any stage",3
"AL, Tallapoosa",2021,AL,Tallapoosa County,1123,All patients,Adjusted Prevalence,"DR, any stage",2.88
"AL, Tuscaloosa",2021,AL,Tuscaloosa County,1125,All patients,Adjusted Prevalence,"DR, any stage",2.71
"AL, Walker",2021,AL,Walker County,1127,All patients,Adjusted Prevalence,"DR, any stage",2.24
"AL, Washington",2021,AL,Washington County,1129,All patients,Adjusted Prevalence,"DR, any stage",3.64
"AL, Wilcox",2021,AL,Wilcox County,1131,All patients,Adjusted Prevalence,"DR, any stage",4.47
"AL, Winston",2021,AL,Winston County,1133,All patients,Adjusted Prevalence,"DR, any stage",3.39
"AK, Aleutians East Borough",2021,AK,Aleutians East Borough,2013,All patients,Adjusted Prevalence,"DR, any stage",2.9
"AK, Aleutians West Ca",2021,AK,Aleutians West Census Area,2016,All patients,Adjusted Prevalence,"DR, any stage",2.9
"AK, Anchorage Muny",2021,AK,Anchorage Municipality,2020,All patients,Adjusted Prevalence,"DR, any stage",2.13
"AK, Bethel Ca",2021,AK,Bethel Census Area,2050,All patients,Adjusted Prevalence,"DR, any stage",2.6
"AK, Bristol Bay Borough",2021,AK,Bristol Bay Borough,2060,All patients,Adjusted Prevalence,"DR, any stage",3.22
"AK, Denali Borough",2021,AK,Denali Borough,2068,All patients,Adjusted Prevalence,"DR, any stage",2.76
"AK, Dillingham Ca",2021,AK,Dillingham Census Area,2070,All patients,Adjusted Prevalence,"DR, any stage",2.41
"AK, Fairbanks North Star Borough",2021,AK,Fairbanks North Star Borough,2090,All patients,Adjusted Prevalence,"DR, any stage",2.54
"AK, Haines Borough",2021,AK,Haines Borough,2100,All patients,Adjusted Prevalence,"DR, any stage",1.77
"AK, Hoonahâ€“Angoon Ca",2021,AK,Hoonah-Angoon Census Area,2105,All patients,Adjusted Prevalence,"DR, any stage",2.26
"AK, Juneau Cty&bor",2021,AK,Juneau City and Borough,2110,All patients,Adjusted Prevalence,"DR, any stage",1.71
"AK, Kenai Peninsula Borough",2021,AK,Kenai Peninsula Borough,2122,All patients,Adjusted Prevalence,"DR, any stage",2.03
"AK, Ketchikan Gateway Borough",2021,AK,Ketchikan Gateway Borough,2130,All patients,Adjusted Prevalence,"DR, any stage",1.75
"AK, Kodiak Island Borough",2021,AK,Kodiak Island Borough,2150,All patients,Adjusted Prevalence,"DR, any stage",2.45
"AK, Lake And Peninsula Borough",2021,AK,Lake and Peninsula Borough,2164,All patients,Adjusted Prevalence,"DR, any stage",3.05
"AK, Matanuska-susitna Borough",2021,AK,Matanuska-Susitna Borough,2170,All patients,Adjusted Prevalence,"DR, any stage",2.22
"AK, Nome Ca",2021,AK,Nome Census Area,2180,All patients,Adjusted Prevalence,"DR, any stage",2.44
"AK, North Slope Borough",2021,AK,North Slope Borough,2185,All patients,Adjusted Prevalence,"DR, any stage",2.92
"AK, Northwest Arctic Borough",2021,AK,Northwest Arctic Borough,2188,All patients,Adjusted Prevalence,"DR, any stage",3.16
"AK, Petersburg Ca",2021,AK,Petersburg Borough,2195,All patients,Adjusted Prevalence,"DR, any stage",2.31
"AK, Prince Of Walesâ€“Hyder Ca",2021,AK,Prince of Wales-Hyder Census Area,2198,All patients,Adjusted Prevalence,"DR, any stage",2.31
"AK, Sitka Cty&bor",2021,AK,Sitka City and Borough,2220,All patients,Adjusted Prevalence,"DR, any stage",1.83
"AK, Skagway Muny",2021,AK,Skagway Municipality,2230,All patients,Adjusted Prevalence,"DR, any stage",1.86
"AK, Southeast Fairbanks Ca",2021,AK,Southeast Fairbanks Census Area,2240,All patients,Adjusted Prevalence,"DR, any stage",2.2
"AK, Valdez-Cordova Ca",2021,AK,Valdez-Cordova Census Area,2261,All patients,Adjusted Prevalence,"DR, any stage",2.15
"AK, Wade Hampton",2021,AK,Kusilvak Census Area,2270,All patients,Adjusted Prevalence,"DR, any stage",2.95
"AK, Wrangell City&bor",2021,AK,Wrangell City and Borough,2275,All patients,Adjusted Prevalence,"DR, any stage",2.31
"AK, Yakutat City&bor",2021,AK,Yakutat City and Borough,2282,All patients,Adjusted Prevalence,"DR, any stage",2.25
"AK, Yukon-Koyukuk Ca",2021,AK,Yukon-Koyukuk Census Area,2290,All patients,Adjusted Prevalence,"DR, any stage",2.34
"AZ, Apache",2021,AZ,Apache County,4001,All patients,Adjusted Prevalence,"DR, any stage",5.67
"AZ, Cochise",2021,AZ,Cochise County,4003,All patients,Adjusted Prevalence,"DR, any stage",2.05
"AZ, Coconino",2021,AZ,Coconino County,4005,All patients,Adjusted Prevalence,"DR, any stage",2.76
"AZ, Gila",2021,AZ,Gila County,4007,All patients,Adjusted Prevalence,"DR, any stage",2.82
"AZ, Graham",2021,AZ,Graham County,4009,All patients,Adjusted Prevalence,"DR, any stage",2.78
"AZ, Greenlee",2021,AZ,Greenlee County,4011,All patients,Adjusted Prevalence,"DR, any stage",3.18
"AZ, La Paz",2021,AZ,La Paz County,4012,All patients,Adjusted Prevalence,"DR, any stage",2.92
"AZ, Maricopa",2021,AZ,Maricopa County,4013,All patients,Adjusted Prevalence,"DR, any stage",2.34
"AZ, Mohave",2021,AZ,Mohave County,4015,All patients,Adjusted Prevalence,"DR, any stage",1.79
"AZ, Navajo",2021,AZ,Navajo County,4017,All patients,Adjusted Prevalence,"DR, any stage",3.9
"AZ, Pima",2021,AZ,Pima County,4019,All patients,Adjusted Prevalence,"DR, any stage",2.23
"AZ, Pinal",2021,AZ,Pinal County,4021,All patients,Adjusted Prevalence,"DR, any stage",3.34
"AZ, Santa Cruz",2021,AZ,Santa Cruz County,4023,All patients,Adjusted Prevalence,"DR, any stage",3.53
"AZ, Yavapai",2021,AZ,Yavapai County,4025,All patients,Adjusted Prevalence,"DR, any stage",2.1
"AZ, Yuma",2021,AZ,Yuma County,4027,All patients,Adjusted Prevalence,"DR, any stage",2.74
"AR, Arkansas",2021,AR,Arkansas County,5001,All patients,Adjusted Prevalence,"DR, any stage",3.43
"AR, Ashley",2021,AR,Ashley County,5003,All patients,Adjusted Prevalence,"DR, any stage",4.8
"AR, Baxter",2021,AR,Baxter County,5005,All patients,Adjusted Prevalence,"DR, any stage",2.65
"AR, Benton",2021,AR,Benton County,5007,All patients,Adjusted Prevalence,"DR, any stage",2.51
"AR, Boone",2021,AR,Boone County,5009,All patients,Adjusted Prevalence,"DR, any stage",2.97
"AR, Bradley",2021,AR,Bradley County,5011,All patients,Adjusted Prevalence,"DR, any stage",4.52
"AR, Calhoun",2021,AR,Calhoun County,5013,All patients,Adjusted Prevalence,"DR, any stage",2.94
"AR, Carroll",2021,AR,Carroll County,5015,All patients,Adjusted Prevalence,"DR, any stage",2.8
"AR, Chicot",2021,AR,Chicot County,5017,All patients,Adjusted Prevalence,"DR, any stage",5.35
"AR, Clark",2021,AR,Clark County,5019,All patients,Adjusted Prevalence,"DR, any stage",2.55
"AR, Clay",2021,AR,Clay County,5021,All patients,Adjusted Prevalence,"DR, any stage",2.95
"AR, Cleburne",2021,AR,Cleburne County,5023,All patients,Adjusted Prevalence,"DR, any stage",2.59
"AR, Cleveland",2021,AR,Cleveland County,5025,All patients,Adjusted Prevalence,"DR, any stage",3.28
"AR, Columbia",2021,AR,Columbia County,5027,All patients,Adjusted Prevalence,"DR, any stage",3.53
"AR, Conway",2021,AR,Conway County,5029,All patients,Adjusted Prevalence,"DR, any stage",2.68
"AR, Craighead",2021,AR,Craighead County,5031,All patients,Adjusted Prevalence,"DR, any stage",2.68
"AR, Crawford",2021,AR,Crawford County,5033,All patients,Adjusted Prevalence,"DR, any stage",2.23
"AR, Crittenden",2021,AR,Crittenden County,5035,All patients,Adjusted Prevalence,"DR, any stage",3.76
"AR, Cross",2021,AR,Cross County,5037,All patients,Adjusted Prevalence,"DR, any stage",4.14
"AR, Dallas",2021,AR,Dallas County,5039,All patients,Adjusted Prevalence,"DR, any stage",3.99
"AR, Desha",2021,AR,Desha County,5041,All patients,Adjusted Prevalence,"DR, any stage",4.17
"AR, Drew",2021,AR,Drew County,5043,All patients,Adjusted Prevalence,"DR, any stage",4.08
"AR, Faulkner",2021,AR,Faulkner County,5045,All patients,Adjusted Prevalence,"DR, any stage",3.38
"AR, Franklin",2021,AR,Franklin County,5047,All patients,Adjusted Prevalence,"DR, any stage",2.56
"AR, Fulton",2021,AR,Fulton County,5049,All patients,Adjusted Prevalence,"DR, any stage",2.76
"AR, Garland",2021,AR,Garland County,5051,All patients,Adjusted Prevalence,"DR, any stage",2.27
"AR, Grant",2021,AR,Grant County,5053,All patients,Adjusted Prevalence,"DR, any stage",3.19
"AR, Greene",2021,AR,Greene County,5055,All patients,Adjusted Prevalence,"DR, any stage",4.15
"AR, Hempstead",2021,AR,Hempstead County,5057,All patients,Adjusted Prevalence,"DR, any stage",3.31
"AR, Hot Spring",2021,AR,Hot Spring County,5059,All patients,Adjusted Prevalence,"DR, any stage",2.48
"AR, Howard",2021,AR,Howard County,5061,All patients,Adjusted Prevalence,"DR, any stage",3.02
"AR, Independence",2021,AR,Independence County,5063,All patients,Adjusted Prevalence,"DR, any stage",3.14
"AR, Izard",2021,AR,Izard County,5065,All patients,Adjusted Prevalence,"DR, any stage",2.43
"AR, Jackson",2021,AR,Jackson County,5067,All patients,Adjusted Prevalence,"DR, any stage",2.76
"AR, Jefferson",2021,AR,Jefferson County,5069,All patients,Adjusted Prevalence,"DR, any stage",3.79
"AR, Johnson",2021,AR,Johnson County,5071,All patients,Adjusted Prevalence,"DR, any stage",3.26
"AR, Lafayette",2021,AR,Lafayette County,5073,All patients,Adjusted Prevalence,"DR, any stage",2.76
"AR, Lawrence",2021,AR,Lawrence County,5075,All patients,Adjusted Prevalence,"DR, any stage",2.29
"AR, Lee",2021,AR,Lee County,5077,All patients,Adjusted Prevalence,"DR, any stage",3.72
"AR, Lincoln",2021,AR,Lincoln County,5079,All patients,Adjusted Prevalence,"DR, any stage",4.45
"AR, Little River",2021,AR,Little River County,5081,All patients,Adjusted Prevalence,"DR, any stage",3.15
"AR, Logan",2021,AR,Logan County,5083,All patients,Adjusted Prevalence,"DR, any stage",2.74
"AR, Lonoke",2021,AR,Lonoke County,5085,All patients,Adjusted Prevalence,"DR, any stage",2.91
"AR, Madison",2021,AR,Madison County,5087,All patients,Adjusted Prevalence,"DR, any stage",3.52
"AR, Marion",2021,AR,Marion County,5089,All patients,Adjusted Prevalence,"DR, any stage",3.23
"AR, Miller",2021,AR,Miller County,5091,All patients,Adjusted Prevalence,"DR, any stage",3.29
"AR, Mississippi",2021,AR,Mississippi County,5093,All patients,Adjusted Prevalence,"DR, any stage",5.35
"AR, Monroe",2021,AR,Monroe County,5095,All patients,Adjusted Prevalence,"DR, any stage",2.71
"AR, Montgomery",2021,AR,Montgomery County,5097,All patients,Adjusted Prevalence,"DR, any stage",1.94
"AR, Nevada",2021,AR,Nevada County,5099,All patients,Adjusted Prevalence,"DR, any stage",2.75
"AR, Newton",2021,AR,Newton County,5101,All patients,Adjusted Prevalence,"DR, any stage",3.6
"AR, Ouachita",2021,AR,Ouachita County,5103,All patients,Adjusted Prevalence,"DR, any stage",3.92
"AR, Perry",2021,AR,Perry County,5105,All patients,Adjusted Prevalence,"DR, any stage",3.06
"AR, Phillips",2021,AR,Phillips County,5107,All patients,Adjusted Prevalence,"DR, any stage",4.53
"AR, Pike",2021,AR,Pike County,5109,All patients,Adjusted Prevalence,"DR, any stage",2.93
"AR, Poinsett",2021,AR,Poinsett County,5111,All patients,Adjusted Prevalence,"DR, any stage",2.53
"AR, Polk",2021,AR,Polk County,5113,All patients,Adjusted Prevalence,"DR, any stage",3.1
"AR, Pope",2021,AR,Pope County,5115,All patients,Adjusted Prevalence,"DR, any stage",3.98
"AR, Prairie",2021,AR,Prairie County,5117,All patients,Adjusted Prevalence,"DR, any stage",2.98
"AR, Pulaski",2021,AR,Pulaski County,5119,All patients,Adjusted Prevalence,"DR, any stage",2.85
"AR, Randolph",2021,AR,Randolph County,5121,All patients,Adjusted Prevalence,"DR, any stage",2.48
"AR, St Francis",2021,AR,St. Francis County,5123,All patients,Adjusted Prevalence,"DR, any stage",5.25
"AR, Saline",2021,AR,Saline County,5125,All patients,Adjusted Prevalence,"DR, any stage",3.45
"AR, Scott",2021,AR,Scott County,5127,All patients,Adjusted Prevalence,"DR, any stage",2.88
"AR, Searcy",2021,AR,Searcy County,5129,All patients,Adjusted Prevalence,"DR, any stage",3.36
"AR, Sebastian",2021,AR,Sebastian County,5131,All patients,Adjusted Prevalence,"DR, any stage",2.44
"AR, Sevier",2021,AR,Sevier County,5133,All patients,Adjusted Prevalence,"DR, any stage",3.91
"AR, Sharp",2021,AR,Sharp County,5135,All patients,Adjusted Prevalence,"DR, any stage",2.83
"AR, Stone",2021,AR,Stone County,5137,All patients,Adjusted Prevalence,"DR, any stage",3.27
"AR, Union",2021,AR,Union County,5139,All patients,Adjusted Prevalence,"DR, any stage",2.71
"AR, Van Buren",2021,AR,Van Buren County,5141,All patients,Adjusted Prevalence,"DR, any stage",2.77
"AR, Washington",2021,AR,Washington County,5143,All patients,Adjusted Prevalence,"DR, any stage",2.35
"AR, White",2021,AR,White County,5145,All patients,Adjusted Prevalence,"DR, any stage",2.36
"AR, Woodruff",2021,AR,Woodruff County,5147,All patients,Adjusted Prevalence,"DR, any stage",3.39
"AR, Yell",2021,AR,Yell County,5149,All patients,Adjusted Prevalence,"DR, any stage",4.46
"CA, Alameda",2021,CA,Alameda County,6001,All patients,Adjusted Prevalence,"DR, any stage",2.79
"CA, Alpine",2021,CA,Alpine County,6003,All patients,Adjusted Prevalence,"DR, any stage",2.86
"CA, Amador",2021,CA,Amador County,6005,All patients,Adjusted Prevalence,"DR, any stage",2.05
"CA, Butte",2021,CA,Butte County,6007,All patients,Adjusted Prevalence,"DR, any stage",2.08
"CA, Calaveras",2021,CA,Calaveras County,6009,All patients,Adjusted Prevalence,"DR, any stage",2.02
"CA, Colusa",2021,CA,Colusa County,6011,All patients,Adjusted Prevalence,"DR, any stage",3.5
"CA, Contra Costa",2021,CA,Contra Costa County,6013,All patients,Adjusted Prevalence,"DR, any stage",2.22
"CA, Del Norte",2021,CA,Del Norte County,6015,All patients,Adjusted Prevalence,"DR, any stage",2.29
"CA, El Dorado",2021,CA,El Dorado County,6017,All patients,Adjusted Prevalence,"DR, any stage",1.8
"CA, Fresno",2021,CA,Fresno County,6019,All patients,Adjusted Prevalence,"DR, any stage",2.64
"CA, Glenn",2021,CA,Glenn County,6021,All patients,Adjusted Prevalence,"DR, any stage",2.76
"CA, Humboldt",2021,CA,Humboldt County,6023,All patients,Adjusted Prevalence,"DR, any stage",1.84
"CA, Imperial",2021,CA,Imperial County,6025,All patients,Adjusted Prevalence,"DR, any stage",6.1
"CA, Inyo",2021,CA,Inyo County,6027,All patients,Adjusted Prevalence,"DR, any stage",1.82
"CA, Kern",2021,CA,Kern County,6029,All patients,Adjusted Prevalence,"DR, any stage",3.61
"CA, Kings",2021,CA,Kings County,6031,All patients,Adjusted Prevalence,"DR, any stage",3.22
"CA, Lake",2021,CA,Lake County,6033,All patients,Adjusted Prevalence,"DR, any stage",3.78
"CA, Lassen",2021,CA,Lassen County,6035,All patients,Adjusted Prevalence,"DR, any stage",1.97
"CA, Los Angeles",2021,CA,Los Angeles County,6037,All patients,Adjusted Prevalence,"DR, any stage",3.28
"CA, Madera",2021,CA,Madera County,6039,All patients,Adjusted Prevalence,"DR, any stage",3.48
"CA, Marin",2021,CA,Marin County,6041,All patients,Adjusted Prevalence,"DR, any stage",1.83
"CA, Mariposa",2021,CA,Mariposa County,6043,All patients,Adjusted Prevalence,"DR, any stage",1.87
"CA, Mendocino",2021,CA,Mendocino County,6045,All patients,Adjusted Prevalence,"DR, any stage",2.06
"CA, Merced",2021,CA,Merced County,6047,All patients,Adjusted Prevalence,"DR, any stage",4.62
"CA, Modoc",2021,CA,Modoc County,6049,All patients,Adjusted Prevalence,"DR, any stage",2.16
"CA, Mono",2021,CA,Mono County,6051,All patients,Adjusted Prevalence,"DR, any stage",1.56
"CA, Monterey",2021,CA,Monterey County,6053,All patients,Adjusted Prevalence,"DR, any stage",3.47
"CA, Napa",2021,CA,Napa County,6055,All patients,Adjusted Prevalence,"DR, any stage",2.42
"CA, Nevada",2021,CA,Nevada County,6057,All patients,Adjusted Prevalence,"DR, any stage",1.7
"CA, Orange",2021,CA,Orange County,6059,All patients,Adjusted Prevalence,"DR, any stage",2.63
"CA, Placer",2021,CA,Placer County,6061,All patients,Adjusted Prevalence,"DR, any stage",1.98
"CA, Plumas",2021,CA,Plumas County,6063,All patients,Adjusted Prevalence,"DR, any stage",3.12
"CA, Riverside",2021,CA,Riverside County,6065,All patients,Adjusted Prevalence,"DR, any stage",2.6
"CA, Sacramento",2021,CA,Sacramento County,6067,All patients,Adjusted Prevalence,"DR, any stage",2.76
"CA, San Benito",2021,CA,San Benito County,6069,All patients,Adjusted Prevalence,"DR, any stage",3.61
"CA, San Bernardino",2021,CA,San Bernardino County,6071,All patients,Adjusted Prevalence,"DR, any stage",3.05
"CA, San Diego",2021,CA,San Diego County,6073,All patients,Adjusted Prevalence,"DR, any stage",2.86
"CA, San Francisco",2021,CA,San Francisco County,6075,All patients,Adjusted Prevalence,"DR, any stage",2.17
"CA, San Joaquin",2021,CA,San Joaquin County,6077,All patients,Adjusted Prevalence,"DR, any stage",2.97
"CA, San Luis Obispo",2021,CA,San Luis Obispo County,6079,All patients,Adjusted Prevalence,"DR, any stage",2.67
"CA, San Mateo",2021,CA,San Mateo County,6081,All patients,Adjusted Prevalence,"DR, any stage",2.07
"CA, Santa Barbara",2021,CA,Santa Barbara County,6083,All patients,Adjusted Prevalence,"DR, any stage",3.2
"CA, Santa Clara",2021,CA,Santa Clara County,6085,All patients,Adjusted Prevalence,"DR, any stage",2.69
"CA, Santa Cruz",2021,CA,Santa Cruz County,6087,All patients,Adjusted Prevalence,"DR, any stage",2.96
"CA, Shasta",2021,CA,Shasta County,6089,All patients,Adjusted Prevalence,"DR, any stage",1.74
"CA, Sierra",2021,CA,Sierra County,6091,All patients,Adjusted Prevalence,"DR, any stage",2.7
"CA, Siskiyou",2021,CA,Siskiyou County,6093,All patients,Adjusted Prevalence,"DR, any stage",2.18
"CA, Solano",2021,CA,Solano County,6095,All patients,Adjusted Prevalence,"DR, any stage",2.52
"CA, Sonoma",2021,CA,Sonoma County,6097,All patients,Adjusted Prevalence,"DR, any stage",2.03
"CA, Stanislaus",2021,CA,Stanislaus County,6099,All patients,Adjusted Prevalence,"DR, any stage",3.01
"CA, Sutter",2021,CA,Sutter County,6101,All patients,Adjusted Prevalence,"DR, any stage",2.5
"CA, Tehama",2021,CA,Tehama County,6103,All patients,Adjusted Prevalence,"DR, any stage",3.75
"CA, Trinity",2021,CA,Trinity County,6105,All patients,Adjusted Prevalence,"DR, any stage",1.75
"CA, Tulare",2021,CA,Tulare County,6107,All patients,Adjusted Prevalence,"DR, any stage",3.23
"CA, Tuolumne",2021,CA,Tuolumne County,6109,All patients,Adjusted Prevalence,"DR, any stage",1.76
"CA, Ventura",2021,CA,Ventura County,6111,All patients,Adjusted Prevalence,"DR, any stage",2.81
"CA, Yolo",2021,CA,Yolo County,6113,All patients,Adjusted Prevalence,"DR, any stage",2.64
"CA, Yuba",2021,CA,Yuba County,6115,All patients,Adjusted Prevalence,"DR, any stage",2.55
"CO, Adams",2021,CO,Adams County,8001,All patients,Adjusted Prevalence,"DR, any stage",2.59
"CO, Alamosa",2021,CO,Alamosa County,8003,All patients,Adjusted Prevalence,"DR, any stage",3.23
"CO, Arapahoe",2021,CO,Arapahoe County,8005,All patients,Adjusted Prevalence,"DR, any stage",2.24
"CO, Archuleta",2021,CO,Archuleta County,8007,All patients,Adjusted Prevalence,"DR, any stage",1.77
"CO, Baca",2021,CO,Baca County,8009,All patients,Adjusted Prevalence,"DR, any stage",2.33
"CO, Bent",2021,CO,Bent County,8011,All patients,Adjusted Prevalence,"DR, any stage",3.21
"CO, Boulder",2021,CO,Boulder County,8013,All patients,Adjusted Prevalence,"DR, any stage",2.61
"CO, Broomfield",2021,CO,Broomfield County,8014,All patients,Adjusted Prevalence,"DR, any stage",2.78
"CO, Chaffee",2021,CO,Chaffee County,8015,All patients,Adjusted Prevalence,"DR, any stage",1.61
"CO, Cheyenne",2021,CO,Cheyenne County,8017,All patients,Adjusted Prevalence,"DR, any stage",2.4
"CO, Clear Creek",2021,CO,Clear Creek County,8019,All patients,Adjusted Prevalence,"DR, any stage",1.89
"CO, Conejos",2021,CO,Conejos County,8021,All patients,Adjusted Prevalence,"DR, any stage",3.77
"CO, Costilla",2021,CO,Costilla County,8023,All patients,Adjusted Prevalence,"DR, any stage",3.29
"CO, Crowley",2021,CO,Crowley County,8025,All patients,Adjusted Prevalence,"DR, any stage",3.24
"CO, Custer",2021,CO,Custer County,8027,All patients,Adjusted Prevalence,"DR, any stage",2.05
"CO, Delta",2021,CO,Delta County,8029,All patients,Adjusted Prevalence,"DR, any stage",2.18
"CO, Denver",2021,CO,Denver County,8031,All patients,Adjusted Prevalence,"DR, any stage",2.03
"CO, Dolores",2021,CO,Dolores County,8033,All patients,Adjusted Prevalence,"DR, any stage",2.79
"CO, Douglas",2021,CO,Douglas County,8035,All patients,Adjusted Prevalence,"DR, any stage",1.67
"CO, Eagle",2021,CO,Eagle County,8037,All patients,Adjusted Prevalence,"DR, any stage",1.73
"CO, Elbert",2021,CO,Elbert County,8039,All patients,Adjusted Prevalence,"DR, any stage",1.91
