FullGeoName,Year,State,County,FIPS,RiskFactor,DataType,Indicator,Prevalence,ToxPi Score,Name,Source,Temperature-related deaths!1!0x88cceeff,Disaster-related deaths!1!0x44aa99ff,Air pollution-related deaths!1!0x117733ff,Air pollution-related illnesses!1!0x332288ff,Infectious Diseases!1!0xddcc77ff,ToxPi Score_socio,Name_socio,Source_socio,Costs of Climate Disasters!1!0x88cceeff,Economic & Productivity Losses!1!0x44aa99ff,Transition Risks!1!0x117733ff,Social Stressors!1!0x332288ff,ToxPi Score_env,Name3,Source_env,Transportation Sources!1!0x88cceeff,Exposures & Risks!1!0x44aa99ff,Pollution Sources!1!0x117733ff,Criteria Air Pollutants!1!0x332288ff,Land Use!1!0xddcc77ff,ToxPi Score_infra,Name_infra,Source_infra,Transportation!1!0x88cceeff,Energy!1!0x44aa99ff,"Food, Water, and Waste Management!1!0x117733ff",Communications!1!0x332288ff,Financial Services!1!0xddcc77ff,Governance!1!0x999933ff
"AL, Chilton",2021,AL,Chilton County,1021,All patients,Adjusted Prevalence,"DR, any stage",3.2,0.799051790264581,"AL, Chilton","+32.8540595,-086.7266275",0.789624443029917,0.978111728193401,0.955904059040591,0.994589433481859,0.277029287577138,0.459298844577224,"AL, Chilton","+32.8540595,-086.7266275",0.420660695489069,0.556274536123715,0.656405591902405,0.203854554793706,0.545542266829902,"AL, Chilton","+32.8540595,-086.7266275",0.808214717648153,0.484230965977606,0.376265645204577,0.693921695868484,0.365078309450689,0.640679035096825,"AL, Chilton","+32.8540595,-086.7266275",0.369279673558134,0.418037773780552,0.389673580540052,0.923101621448066,0.824063035093895,0.919918526160253
"AL, Choctaw",2021,AL,Choctaw County,1023,All patients,Adjusted Prevalence,"DR, any stage",3.47,0.674772008483912,"AL, Choctaw","+31.9910082,-088.2488874",0.862189688096754,0.978111728193401,0.456826568265683,0.890515595162317,0.186216462701405,0.529807397692046,"AL, Choctaw","+31.9910082,-088.2488874",0.477690194169604,0.764821605934453,0.748891356539289,0.127826434124837,0.356655874859826,"AL, Choctaw","+31.9910082,-088.2488874",0.382640245604242,0.429949890884601,0.353258350208603,0.338308457711443,0.279122429890243,0.648065168343445,"AL, Choctaw","+31.9910082,-088.2488874",0.52480726203986,0.544737101346692,0.71203281724598,0.82661743458019,0.736495489840169,0.543700905007776
"AL, Clarke",2021,AL,Clarke County,1025,All patients,Adjusted Prevalence,"DR, any stage",3.08,0.695657091758166,"AL, Clarke","+31.6855211,-087.8186244",0.828453214513049,0.978111728193401,0.457380073800738,0.956397199236155,0.257943243047488,0.436887396884879,"AL, Clarke","+31.6855211,-087.8186244",0.495135140406185,0.469508870650043,0.660178642997044,0.122726933486246,0.448875310849653,"AL, Clarke","+31.6855211,-087.8186244",0.665782863522188,0.454292114026973,0.451972576670652,0.412502703871945,0.259826296156506,0.617715558963268,"AL, Clarke","+31.6855211,-087.8186244",0.420802088185313,0.558804213383732,0.868917118149894,0.673462835126023,0.611386610829154,0.572920488105491
"AL, Clay",2021,AL,Clay County,1027,All patients,Adjusted Prevalence,"DR, any stage",3.47,0.809574051805292,"AL, Clay","+33.2678085,-085.8620510",0.767345639719924,0.978111728193401,0.789114391143912,0.988860598345003,0.524437901624222,0.519179412963402,"AL, Clay","+33.2678085,-085.8620510",0.608168958287778,0.619032616978655,0.60661972258046,0.242896354006715,0.400426700170962,"AL, Clay","+33.2678085,-085.8620510",0.403432877476975,0.451732588603188,0.218825481250152,0.660718148388492,0.267424405136004,0.623384211371352,"AL, Clay","+33.2678085,-085.8620510",0.506959910380807,0.617310611174151,0.298122759152024,0.848611334082517,0.622137477771195,0.847163175667417
"AL, Cleburne",2021,AL,Cleburne County,1029,All patients,Adjusted Prevalence,"DR, any stage",3.06,0.762882468911763,"AL, Cleburne","+33.6719810,-085.5161090",0.78071292170592,0.978111728193401,0.708487084870849,0.954805856142584,0.39229475364606,0.610268549419565,"AL, Cleburne","+33.6719810,-085.5161090",0.688549418792749,0.78344029346763,0.677571488286965,0.291512997130916,0.507129210096614,"AL, Cleburne","+33.6719810,-085.5161090",0.803563122150898,0.462475651388094,0.266425939932174,0.72658446895955,0.276596868052356,0.598663053806995,"AL, Cleburne","+33.6719810,-085.5161090",0.458587375205059,0.465342008042288,0.51613878349295,0.803820838015733,0.736322088760459,0.611767229325481
"AL, Coffee",2021,AL,Coffee County,1031,All patients,Adjusted Prevalence,"DR, any stage",3.44,0.641528295933521,"AL, Coffee","+31.4021833,-085.9892014",0.64035646085296,0.978111728193401,0.402214022140221,0.909929980903883,0.277029287577138,0.463166909479016,"AL, Coffee","+31.4021833,-085.9892014",0.398409482658277,0.516625491102732,0.718154793963449,0.219477870191605,0.411781035102742,"AL, Coffee","+31.4021833,-085.9892014",0.405433063540795,0.516604667402366,0.326176592578135,0.386221068570193,0.424469783422221,0.567138990210575,"AL, Coffee","+31.4021833,-085.9892014",0.498249343745455,0.408962227435642,0.453281448166703,0.679884411623053,0.541766077325449,0.820690432967147
"AL, Colbert",2021,AL,Colbert County,1033,All patients,Adjusted Prevalence,"DR, any stage",2.49,0.64321851491388,"AL, Colbert","+34.7031120,-087.8014569",0.856460852959898,0.978111728193401,0.538745387453875,0.817632081476766,0.0251425244854613,0.456927932515735,"AL, Colbert","+34.7031120,-087.8014569",0.418726786044495,0.574966727457187,0.608644286582462,0.225373929978798,0.5474469818421,"AL, Colbert","+34.7031120,-087.8014569",0.518466834124105,0.618082370797187,0.655451728596872,0.491455764654986,0.45377821103735,0.667109730276541,"AL, Colbert","+34.7031120,-087.8014569",0.603242691510973,0.735841115963727,0.350477065173745,0.826135816342912,0.822935928075778,0.664025764592112
"AL, Conecuh",2021,AL,Conecuh County,1035,All patients,Adjusted Prevalence,"DR, any stage",2.88,0.685745050784763,"AL, Conecuh","+31.4282925,-086.9920291",0.851368555060471,0.978111728193401,0.42140221402214,0.902609802673456,0.275232953974347,0.507391430058688,"AL, Conecuh","+31.4282925,-086.9920291",0.546438938637738,0.595280109179571,0.7391366390751,0.148710033342342,0.457875867869798,"AL, Conecuh","+31.4282925,-086.9920291",0.77193227276956,0.461470139384952,0.36596969770903,0.41174561972745,0.278261609757998,0.678949069751266,"AL, Conecuh","+31.4282925,-086.9920291",0.381073810155685,0.653544081572588,0.856800240265599,0.954727885695938,0.519050535883394,0.708497864934392
"AL, Coosa",2021,AL,Coosa County,1037,All patients,Adjusted Prevalence,"DR, any stage",3.09,0.772175866994746,"AL, Coosa","+32.9314453,-086.2434818",0.721196690006365,0.978111728193401,0.817343173431734,0.937301082113304,0.406926661228927,0.502255956693745,"AL, Coosa","+32.9314453,-086.2434818",0.58740363245518,0.511664098660124,0.662111181362591,0.247844914297085,0.462349408313018,"AL, Coosa","+32.9314453,-086.2434818",0.717462089496697,0.502599422436986,0.21589772366848,0.63486913259788,0.240918673365045,0.661083341078549,"AL, Coosa","+32.9314453,-086.2434818",0.546202476147274,0.61246797861606,0.754742647118238,0.893883448386579,0.433823905205758,0.725379590997386
"AL, Covington",2021,AL,Covington County,1039,All patients,Adjusted Prevalence,"DR, any stage",2.81,0.657180699624967,"AL, Covington","+31.2439873,-086.4487206",0.796944621260344,0.978111728193401,0.377675276752768,0.856142584341184,0.277029287577138,0.468142892488611,"AL, Covington","+31.2439873,-086.4487206",0.448467859937512,0.565119727918059,0.654012925354585,0.204971056744286,0.45308729172502,"AL, Covington","+31.2439873,-086.4487206",0.468648246348498,0.455186675993493,0.517920316197819,0.395522388059702,0.428158832025588,0.658469478026451,"AL, Covington","+31.2439873,-086.4487206",0.472543803898579,0.71970017028063,0.531955077954058,0.842992454647616,0.547228211336325,0.8363971500415
"AL, Crenshaw",2021,AL,Crenshaw County,1041,All patients,Adjusted Prevalence,"DR, any stage",3.47,0.684091192154463,"AL, Crenshaw","+31.7328256,-086.3192219",0.705283259070656,0.978111728193401,0.525276752767528,0.93475493316359,0.277029287577138,0.530358251966788,"AL, Crenshaw","+31.7328256,-086.3192219",0.451871531754706,0.720032010087475,0.723676332150725,0.225853133874246,0.371446992068623,"AL, Crenshaw","+31.7328256,-086.3192219",0.545213508233324,0.448112535805254,0.167101763973943,0.414125027038719,0.282682125291872,0.639587779108008,"AL, Crenshaw","+31.7328256,-086.3192219",0.491611396799526,0.599411929488294,0.600473641678154,0.885374859528014,0.455759141789117,0.804895705364944
"AL, Cullman",2021,AL,Cullman County,1043,All patients,Adjusted Prevalence,"DR, any stage",2.58,0.701374935602125,"AL, Cullman","+34.1319229,-086.8692666",0.73138128580522,0.978111728193401,0.601291512915129,0.868555060471038,0.327535090625838,0.514319313145363,"AL, Cullman","+34.1319229,-086.8692666",0.344948891932421,0.662513194939836,0.769136996559303,0.280678169149893,0.508509074950559,"AL, Cullman","+34.1319229,-086.8692666",0.430970322820728,0.577145299364619,0.38436577451387,0.688622106857019,0.46144187119656,0.582626406102958,"AL, Cullman","+34.1319229,-086.8692666",0.412019500342831,0.303399293634317,0.526297336843643,0.770107561406325,0.644072714354554,0.83986203003608
"AL, Dale",2021,AL,Dale County,1045,All patients,Adjusted Prevalence,"DR, any stage",3.21,0.654414017534212,"AL, Dale","+31.4306536,-085.6094760",0.683322724379376,0.978111728193401,0.405535055350553,0.928071292170592,0.277029287577138,0.427928186608092,"AL, Dale","+31.4306536,-085.6094760",0.3896469593821,0.5640427432394,0.545882802520417,0.21214024129045,0.46895457153495,"AL, Dale","+31.4306536,-085.6094760",0.568657549539492,0.564130835282421,0.419645253373021,0.353774605234696,0.438564614245119,0.69138133501987,"AL, Dale","+31.4306536,-085.6094760",0.666292962616657,0.432208363687518,0.774725314449133,0.621769144324932,0.745078843285832,0.908213381755149
"AL, Dallas",2021,AL,Dallas County,1047,All patients,Adjusted Prevalence,"DR, any stage",5.25,0.67064658478133,"AL, Dallas","+32.3335397,-087.1143556",0.753660089115213,0.978111728193401,0.593357933579336,0.983768300445576,0.044334872573121,0.484651046303409,"AL, Dallas","+32.3335397,-087.1143556",0.562302956141094,0.451413873927864,0.761038740551297,0.16384861459338,0.547715229286661,"AL, Dallas","+32.3335397,-087.1143556",0.482091357335566,0.593220727522652,0.58847927391612,0.578412286394116,0.496372501264849,0.805955900334612,"AL, Dallas","+32.3335397,-087.1143556",0.557593642735746,0.916478286117581,0.896073050676496,0.898539091346926,0.703635985235059,0.863415345895864
"AL, De Kalb",2021,AL,DeKalb County,1049,All patients,Adjusted Prevalence,"DR, any stage",2.65,0.675424015245384,"AL, DeKalb","+34.4609290,-085.8039920",0.605983450031827,0.978111728193401,0.557380073800738,0.836728198599618,0.398916625601334,0.558490766080659,"AL, DeKalb","+34.4609290,-085.8039920",0.356361164472765,0.746536195202974,0.74152930562292,0.389536399023977,0.479957382652203,"AL, DeKalb","+34.4609290,-085.8039920",0.422039259465997,0.518636109003877,0.351452899699905,0.68645900930132,0.421199635789915,0.635459693236839,"AL, DeKalb","+34.4609290,-085.8039920",0.544378402302601,0.588084852664135,0.376139928343898,0.805907850377268,0.718114975390873,0.780132150342261
"AL, Elmore",2021,AL,Elmore County,1051,All patients,Adjusted Prevalence,"DR, any stage",2.48,0.700421367105322,"AL, Elmore","+32.5972286,-086.1427385",0.766072565245067,0.978111728193401,0.609778597785978,0.975493316359007,0.172650627943157,0.451365946977208,"AL, Elmore","+32.5972286,-086.1427385",0.472051225495035,0.587629401672221,0.631190567513841,0.114592593227735,0.517798905918379,"AL, Elmore","+32.5972286,-086.1427385",0.397478835240488,0.630031232929338,0.459731134262083,0.657365347177158,0.444387979982831,0.572184945204551,"AL, Elmore","+32.5972286,-086.1427385",0.72662231802691,0.318361372694248,0.550748240046835,0.433938031786804,0.690717604796638,0.71272210387587
"AL, Escambia",2021,AL,Escambia County,1053,All patients,Adjusted Prevalence,"DR, any stage",2.82,0.661498042798399,"AL, Escambia","+31.1217475,-087.1684290",0.800127307447486,0.978111728193401,0.399261992619926,0.852959898154042,0.277029287577138,0.5440650981526,"AL, Escambia","+31.1217475,-087.1684290",0.664407167108923,0.659237598657843,0.707571845771168,0.145043781072466,0.466597391074514,"AL, Escambia","+31.1217475,-087.1684290",0.489952553725928,0.476369946316853,0.6203674335765,0.449059052563271,0.29723796919002,0.675189951273822,"AL, Escambia","+31.1217475,-087.1684290",0.565436654079771,0.558804213383732,0.579349865854259,0.957617595119602,0.642338703557451,0.747592675648118
"AL, Etowah",2021,AL,Etowah County,1055,All patients,Adjusted Prevalence,"DR, any stage",2.95,0.739719155516651,"AL, Etowah","+34.0476377,-086.0344203",0.873965626989179,0.978111728193401,0.696125461254613,0.892106938255888,0.258286022890175,0.453087203219426,"AL, Etowah","+34.0476377,-086.0344203",0.397663237188074,0.623934423050305,0.524900957408766,0.265850195230559,0.60712116764348,"AL, Etowah","+34.0476377,-086.0344203",0.564889757186715,0.58399723306998,0.546856320296679,0.805645684620376,0.53421684304365,0.637236062299081,"AL, Etowah","+34.0476377,-086.0344203",0.679728163201452,0.567727127336766,0.543916473852276,0.75822764488682,0.518356931564552,0.755460032952622
"AL, Fayette",2021,AL,Fayette County,1057,All patients,Adjusted Prevalence,"DR, any stage",2.28,0.662278622656888,"AL, Fayette","+33.7322485,-087.7520486",0.811584977721197,0.978111728193401,0.5,0.912476129853596,0.109220277516247,0.489545241495591,"AL, Fayette","+33.7322485,-087.7520486",0.38670743463686,0.688135106297218,0.757265689456658,0.126072735591628,0.335693897697305,"AL, Fayette","+33.7322485,-087.7520486",0.254256209879989,0.388941369055415,0.258716178300437,0.482478909798832,0.294076821451851,0.675342409439528,"AL, Fayette","+33.7322485,-087.7520486",0.703473929297049,0.558804213383732,0.584223392571006,0.727082998876224,0.683521459988658,0.794948462520497
"AL, Franklin",2021,AL,Franklin County,1059,All patients,Adjusted Prevalence,"DR, any stage",3.66,0.678792207053036,"AL, Franklin","+34.4419884,-087.8428147",0.929026098026734,0.978111728193401,0.515129151291513,0.797262889879058,0.174431167874472,0.507409817337346,"AL, Franklin","+34.4419884,-087.8428147",0.383224983292336,0.781952117198444,0.6752708473756,0.189191321483002,0.405326708000058,"AL, Franklin","+34.4419884,-087.8428147",0.518001674574379,0.407884879586622,0.353990289604021,0.374756651524984,0.372000044710283,0.62223005890201,"AL, Franklin","+34.4419884,-087.8428147",0.444161488509154,0.558804213383732,0.504368933236222,0.922459463798362,0.504051342488449,0.799534911996139
"AL, Geneva",2021,AL,Geneva County,1061,All patients,Adjusted Prevalence,"DR, any stage",2.46,0.630928635576637,"AL, Geneva","+31.0908664,-085.8243464",0.683004455760662,0.978111728193401,0.365129151291513,0.851368555060471,0.277029287577138,0.48996675463951,"AL, Geneva","+31.0908664,-085.8243464",0.420455918247577,0.553649028289647,0.76628420182921,0.219477870191605,0.344957108386845,"AL, Geneva","+31.0908664,-085.8243464",0.247511396408968,0.465962205041752,0.265254836899505,0.338741077222583,0.407316026361418,0.660643973710589,"AL, Geneva","+31.0908664,-085.8243464",0.628639256545195,0.55832655304979,0.419220601465222,0.749879595440681,0.885100215151937,0.722697620610712
"AL, Greene",2021,AL,Greene County,1063,All patients,Adjusted Prevalence,"DR, any stage",5.01,0.677972214865413,"AL, Greene","+32.8444965,-087.9642005",0.892106938255888,0.978111728193401,0.508118081180812,0.975493316359007,0.0360310103379585,0.514670913242737,"AL, Greene","+32.8444965,-087.9642005",0.547698365450836,0.784467274267662,0.6503318998964,0.0761861133560493,0.480260315578922,"AL, Greene","+32.8444965,-087.9642005",0.803144478556145,0.531199528576748,0.270549198526362,0.477611940298507,0.318796431936846,0.798856411274757,"AL, Greene","+32.8444965,-087.9642005",0.420649785710093,0.949280750877301,0.908797056797451,0.83753411462514,0.874349348209896,0.802527411428665
"AL, Hale",2021,AL,Hale County,1065,All patients,Adjusted Prevalence,"DR, any stage",3.73,0.674569747167916,"AL, Hale","+32.7527958,-087.6230608",0.737746658179503,0.978111728193401,0.62859778597786,0.992361553150859,0.0360310103379585,0.541260707010489,"AL, Hale","+32.7527958,-087.6230608",0.589221285000358,0.621612303768049,0.77106953492485,0.183139704348701,0.457674073036434,"AL, Hale","+32.7527958,-087.6230608",0.542422550934971,0.520162639962412,0.394344548271403,0.50281202682241,0.328628599190974,0.695431789801039,"AL, Hale","+32.7527958,-087.6230608",0.588312951335052,0.649601027440993,0.700430782065034,0.88970942366351,0.643205708956002,0.70133084534564
"AL, Henry",2021,AL,Henry County,1067,All patients,Adjusted Prevalence,"DR, any stage",3.79,0.684460383752171,"AL, Henry","+31.5169779,-085.2399712",0.778803309993635,0.978111728193401,0.425276752767528,0.963080840229153,0.277029287577138,0.508819258175786,"AL, Henry","+31.5169779,-085.2399712",0.541149346022726,0.560041539343736,0.721467716875815,0.212618430460868,0.438975937118634,"AL, Henry","+31.5169779,-085.2399712",0.678900362824449,0.518735808256292,0.305121135969942,0.355505083279256,0.336617295263229,0.596079122675635,"AL, Henry","+31.5169779,-085.2399712",0.382643777026892,0.558804213383732,0.479603493717652,0.835447102263606,0.542199580024725,0.777776569637205
"AL, Houston",2021,AL,Houston County,1069,All patients,Adjusted Prevalence,"DR, any stage",2.84,0.646760843421312,"AL, Houston","+31.1581928,-085.2963976",0.708465945257798,0.978111728193401,0.387638376383764,0.882558879694462,0.277029287577138,0.460616506481058,"AL, Houston","+31.1581928,-085.2963976",0.475941772951971,0.519492025236939,0.625484978053656,0.221547249681668,0.557650513646586,"AL, Houston","+31.1581928,-085.2963976",0.649920922876547,0.548784003683281,0.62644253055847,0.374972961280554,0.588132149834077,0.623543452493269,"AL, Houston","+31.1581928,-085.2963976",0.635236191640881,0.221564666472886,0.580265321333549,0.759030341948949,0.77403682359746,0.771127369965891
"AL, Jackson",2021,AL,Jackson County,1071,All patients,Adjusted Prevalence,"DR, any stage",3.1,0.665682676195813,"AL, Jackson","+34.7635224,-085.9774003",0.647358370464672,0.978111728193401,0.541143911439114,0.776575429662635,0.385223941219242,0.532288538099592,"AL, Jackson","+34.7635224,-085.9774003",0.410686321300162,0.779680496129738,0.569809467998616,0.368977866969853,0.50094801014724,"AL, Jackson","+34.7635224,-085.9774003",0.587263931528514,0.549507943794771,0.452240954448972,0.703114860480208,0.212612360483734,0.660016374317412,"AL, Jackson","+34.7635224,-085.9774003",0.514431603825351,0.825497899835044,0.448297944312102,0.74650826777974,0.59222579152116,0.833136738631075
"AL, Jefferson",2021,AL,Jefferson County,1073,All patients,Adjusted Prevalence,"DR, any stage",2.74,0.697698202407327,"AL, Jefferson","+33.5534439,-086.8965359",0.854232972628899,0.978111728193401,0.635608856088561,0.949713558243157,0.0708238968826187,0.458503827270748,"AL, Jefferson","+33.5534439,-086.8965359",0.422974166512404,0.474876910604473,0.704258922858802,0.231905309107314,0.701478402750795,"AL, Jefferson","+33.5534439,-086.8965359",0.576007070425156,0.752330023231909,0.817649498621514,0.884706900281203,0.476698521194192,0.655108879578291,"AL, Jefferson","+33.5534439,-086.8965359",0.797421835824825,0.249423675898798,0.766943304956737,0.626424787285279,0.835680907434488,0.654758766069618
"AL, Lamar",2021,AL,Lamar County,1075,All patients,Adjusted Prevalence,"DR, any stage",2.5,0.649827134032563,"AL, Lamar","+33.7870852,-088.0874309",0.810948440483768,0.978111728193401,0.506088560885609,0.852959898154042,0.101027042445992,0.530583267729369,"AL, Lamar","+33.7870852,-088.0874309",0.373176507368501,0.850633908485677,0.772449919471669,0.126072735591628,0.393974582489917,"AL, Lamar","+33.7870852,-088.0874309",0.397292771420597,0.418563897583499,0.450533095859663,0.399091499026606,0.30439164855922,0.641932259512676,"AL, Lamar","+33.7870852,-088.0874309",0.490990830524978,0.558804213383732,0.486384566660733,0.867073366511479,0.663233533662548,0.785107046332584
